X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
15.32,211.64,1,2603.55,10.07,35978.63,9.58,0,0,350.29,13.33,419.20,3.02,203.37,8.80,193.46,8.37,0,5620.77,15.15,0.81,4
60.46,243.40,1,10278.07,3.17,41378.80,2.72,0,0,2720.92,36.52,451.32,6.86,180.63,2.74,154.87,2.32,1,22799.60,77.35,0.97,5
15.25,211.40,2,2592.79,8.95,35938.03,6.74,0,0,436.18,13.18,424.82,2.97,227.79,7.82,171.33,5.86,1,5960.35,14.56,0.87,4
60.47,243.39,2,10279.25,3.42,41376.26,2.73,0,0,2215.51,30.97,435.48,5.80,187.33,2.97,148.51,2.30,1,18672.23,96.39,0.97,5
159.43,233.30,2,27102.33,10.41,39661.84,13.07,0,0,200.75,9.24,335.09,2.05,173.61,9.05,218.06,11.41,1,2010.69,7.34,0.75,5
174.74,161.61,2,29705.66,11.98,27473.98,10.56,0,0,255.25,13.31,373.97,2.46,176.03,10.40,154.67,9.01,1,3507.21,9.63,0.71,4
161.68,230.52,3,27485.32,9.60,39189.01,7.66,0,0,286.52,8.30,350.07,2.21,255.51,8.45,203.73,6.74,0,4859.77,12.27,0.87,3
174.82,161.62,3,29719.31,13.59,27476.23,11.18,0,0,235.52,12.29,373.72,2.52,199.86,11.83,164.26,9.66,1,2430.17,8.95,0.71,4
160.98,230.44,4,27366.92,7.82,39174.52,5.96,0,0,415.85,11.41,355.86,2.48,218.92,6.82,166.52,5.15,1,5043.90,18.39,0.89,3
78.21,246.03,5,13295.61,7.77,41825.22,6.11,0,0,362.00,11.18,367.93,2.16,193.27,6.75,152.96,5.46,1,3953.60,14.33,0.88,4
159.10,231.90,5,27047.07,7.45,39422.53,6.31,0,0,397.90,11.37,347.64,2.38,200.47,6.49,169.93,5.53,1,4612.73,16.24,0.89,4
174.57,161.63,5,29677.44,18.28,27476.37,16.56,0,0,167.52,14.02,368.98,2.49,166.90,15.72,150.73,14.05,1,313.73,5.62,0.51,5
78.06,246.06,6,13271.04,10.01,41829.65,7.94,0,0,333.15,12.65,362.45,2.58,202.44,8.71,161.03,7.01,1,3777.33,16.56,0.82,4
160.04,231.49,6,27206.97,8.36,39353.06,7.40,0,0,335.11,9.32,348.09,2.35,231.51,7.34,204.95,6.50,0,4762.46,11.63,0.88,3
129.82,208.84,8,22069.64,4.45,35502.23,4.23,0,0,735.91,15.05,372.36,2.74,166.92,3.87,158.83,3.70,1,5784.12,23.12,0.94,4
174.67,161.58,9,29693.17,18.03,27469.37,12.16,0,0,185.76,13.09,371.92,2.30,194.50,15.61,125.35,9.32,1,1022.94,7.49,0.58,4
136.09,221.08,12,23136.13,3.39,37582.95,2.68,0,0,1302.26,18.55,381.63,3.39,183.36,2.95,146.24,2.42,1,11220.40,41.60,0.97,4
136.07,221.06,13,23131.90,3.70,37580.98,2.97,0,0,1406.08,21.75,377.52,4.02,183.84,3.21,148.84,2.67,1,10675.56,34.45,0.97,4
87.73,237.55,14,14913.55,9.07,40384.30,7.50,0,0,417.10,15.93,381.74,2.95,181.84,7.87,149.23,6.30,1,4322.65,13.82,0.82,4
136.11,221.11,14,23139.37,4.43,37588.12,3.37,0,0,815.16,14.78,358.96,2.72,187.86,3.85,144.14,3.04,1,5645.71,27.91,0.95,4
139.33,163.79,14,23685.75,6.25,27844.34,4.98,0,0,568.63,14.85,364.06,2.73,183.67,5.42,146.74,4.37,1,4354.94,26.30,0.91,5
138.34,199.31,16,23518.30,6.39,33882.33,5.87,0,0,461.42,12.18,355.42,2.45,185.77,5.55,170.70,5.10,1,4521.54,20.83,0.90,4
57.27,143.74,18,9735.92,6.92,24435.39,6.14,0,0,555.23,14.91,394.13,3.15,197.96,6.03,175.52,5.35,1,5152.27,19.96,0.90,4
231.40,172.24,18,39338.77,12.52,29280.48,12.32,0,0,181.97,10.62,345.46,1.94,164.11,10.77,161.79,10.70,1,1935.48,7.85,0.67,5
57.15,143.79,19,9714.86,7.29,24444.28,6.13,0,0,466.42,14.07,393.98,2.69,185.42,6.34,156.16,5.35,1,5139.46,17.22,0.88,5
57.10,143.83,20,9706.81,6.01,24451.85,5.57,0,0,530.58,13.71,392.91,2.65,178.66,5.24,165.48,4.86,1,4003.23,17.52,0.91,4
95.58,54.24,20,16249.03,8.04,9220.14,7.75,0,0,329.24,10.67,360.83,2.27,190.57,7.00,183.71,6.76,1,3372.42,12.64,0.86,5
57.19,143.68,21,9721.69,5.72,24425.62,5.34,0,0,507.77,12.77,399.93,2.41,174.35,4.97,162.70,4.61,1,6133.46,20.43,0.91,4
57.22,143.68,22,9727.63,7.84,24425.93,7.50,0,0,451.62,14.69,402.91,3.01,185.07,6.83,177.08,6.52,1,6144.42,16.74,0.86,5
115.02,31.01,22,19552.56,5.76,5271.80,4.65,0,0,596.88,12.28,349.60,2.71,215.19,5.03,173.79,4.08,1,6948.98,22.47,0.94,4
57.18,143.75,23,9720.50,7.09,24437.54,6.32,0,0,463.72,14.49,394.72,2.67,174.23,6.17,155.25,5.49,1,3347.58,13.76,0.87,5
121.04,214.85,25,20577.43,7.19,36523.75,5.88,0,0,427.33,12.03,361.58,2.41,196.27,6.26,160.79,5.16,1,4568.60,15.34,0.89,5
82.28,188.01,26,13988.00,5.29,31962.33,4.61,0,0,827.29,17.93,396.29,3.54,187.63,4.60,163.66,4.05,1,7868.65,31.89,0.93,4
90.20,177.41,26,15334.67,16.24,30159.45,14.37,0,0,195.37,12.97,374.07,2.58,187.69,14.13,165.88,12.41,1,2373.96,9.97,0.61,5
143.20,148.28,27,24344.81,7.64,25207.77,6.38,0,0,401.52,12.60,362.35,2.42,186.87,6.64,155.85,5.52,1,2600.58,13.89,0.87,4
85.31,211.04,28,14502.22,9.45,35876.78,8.50,0,0,330.44,13.21,363.57,2.56,181.52,8.21,163.62,7.47,1,2900.75,12.94,0.81,4
143.12,148.37,28,24330.90,8.70,25223.69,6.85,0,0,372.84,11.70,365.67,2.51,212.91,7.59,167.38,5.94,1,3426.00,13.10,0.87,3
143.26,148.22,29,24353.38,9.16,25196.93,7.10,0,0,349.22,11.76,369.74,2.45,208.90,7.98,162.02,6.20,1,3086.50,12.48,0.85,4
143.22,148.30,30,24348.01,13.00,25211.03,9.37,0,0,250.09,11.56,351.73,2.40,215.99,11.32,155.37,8.10,1,2774.98,7.94,0.75,4
44.15,220.37,34,7504.93,6.41,37463.58,5.69,0,0,551.67,14.92,392.47,2.87,181.78,5.57,161.05,4.89,1,5964.54,20.12,0.90,4
43.45,28.82,35,7386.76,10.26,4899.30,9.10,0,0,340.91,11.88,403.11,2.93,226.61,9.00,200.85,7.98,0,5434.33,12.44,0.83,4
48.62,118.46,38,8265.64,6.30,20138.80,5.39,0,0,523.77,13.58,399.03,2.63,186.32,5.47,158.79,4.61,1,4221.40,22.76,0.91,4
95.96,101.47,38,16312.56,12.65,17249.07,12.14,0,0,241.62,12.26,366.39,2.61,191.48,11.04,183.61,10.56,1,3130.67,11.52,0.72,5
49.06,228.69,39,8339.82,11.21,38877.74,8.61,0,0,254.50,9.65,377.23,2.20,227.33,9.80,174.64,7.52,1,3678.60,9.00,0.81,4
95.92,101.56,39,16306.76,9.12,17264.79,7.01,0,0,316.05,11.92,374.17,2.15,184.65,7.92,139.67,5.72,1,3214.23,12.65,0.83,4
95.34,158.05,39,16208.26,11.69,26867.84,10.78,0,0,238.90,10.26,371.75,2.36,209.47,10.22,193.05,9.43,0,1976.94,9.48,0.77,4
95.80,101.57,40,16285.60,10.36,17266.56,11.33,0,0,281.93,12.03,375.83,2.68,186.58,9.05,204.15,9.89,1,3039.75,10.11,0.78,5
34.68,108.91,41,5895.89,4.30,18514.80,4.01,0,0,677.96,13.83,424.93,2.41,161.57,3.70,151.68,3.56,1,6465.15,20.38,0.94,4
34.65,108.91,42,5890.02,6.66,18513.86,6.21,0,0,512.76,13.65,400.08,2.87,192.11,5.80,179.14,5.42,1,5275.33,24.92,0.90,4
73.05,203.49,42,12417.81,8.33,34593.14,9.54,0,0,296.55,12.08,384.35,2.28,157.48,7.36,179.71,8.26,1,3350.38,10.95,0.80,4
161.07,205.03,42,27381.50,4.26,34855.48,3.15,0,0,891.87,14.10,385.35,2.84,207.02,3.70,153.90,2.81,1,8768.62,24.09,0.96,4
34.76,108.86,43,5909.47,5.27,18505.52,5.27,0,0,566.76,13.46,408.23,2.58,170.46,4.59,170.33,4.60,1,5062.02,23.35,0.92,4
95.35,185.49,43,16209.57,15.66,31533.57,18.42,0,0,124.11,9.04,362.96,1.83,164.84,13.55,194.13,16.02,1,1614.96,6.04,0.56,4
161.06,205.02,43,27380.20,4.32,34853.65,3.39,0,0,1057.90,17.78,387.83,3.51,197.44,3.76,155.59,3.01,1,9430.00,32.56,0.96,4
34.76,108.83,44,5909.71,5.13,18501.62,5.32,0,0,542.22,12.87,402.30,2.44,165.70,4.46,171.91,4.63,1,4707.35,20.59,0.92,4
34.79,108.87,45,5913.61,6.23,18508.72,5.64,0,0,547.01,13.98,403.89,2.81,187.12,5.42,169.57,4.93,1,4860.52,19.43,0.91,4
34.69,108.81,46,5898.12,6.51,18497.47,6.27,0,0,532.36,14.74,413.09,2.95,180.55,5.66,173.82,5.46,1,5040.48,17.41,0.90,4
34.67,108.81,47,5893.14,5.31,18498.35,4.99,0,0,509.33,11.58,408.89,2.26,179.03,4.61,168.46,4.35,1,4742.90,16.40,0.93,4
34.71,108.85,48,5900.20,5.17,18503.81,5.06,0,0,593.56,14.35,414.07,2.61,163.89,4.47,160.85,4.43,1,5057.54,19.64,0.92,4
34.73,108.79,49,5903.96,5.51,18494.06,5.13,0,0,690.71,16.78,414.31,3.16,173.97,4.78,162.10,4.47,1,5251.35,33.51,0.92,4
15.39,32.92,50,2616.02,15.58,5596.42,12.67,0,0,224.07,12.35,394.42,2.76,217.26,13.60,176.75,11.10,1,2407.71,8.18,0.67,4
34.76,108.87,50,5908.88,5.71,18508.27,4.59,0,0,541.13,11.91,413.67,2.40,199.30,4.97,160.54,4.04,1,5015.54,21.44,0.93,4
34.56,108.81,51,5874.43,6.40,18497.58,5.18,0,0,528.40,12.86,408.58,2.64,201.89,5.57,163.53,4.53,1,4627.92,16.92,0.92,4
62.57,92.44,51,10636.20,25.67,15714.44,22.49,0,0,113.62,11.22,382.21,2.38,199.60,22.37,174.76,19.53,1,1099.54,6.68,0.40,4
83.28,121.50,51,14157.88,4.31,20655.76,3.69,0,0,972.04,17.15,397.69,3.34,187.33,3.75,159.75,3.16,1,9491.19,41.67,0.96,4
141.73,208.26,51,24093.78,5.50,35403.60,4.46,0,0,573.23,13.30,352.64,2.44,181.87,4.77,147.48,3.87,1,4934.96,20.92,0.93,4
149.63,162.21,51,25436.45,8.39,27576.30,7.36,0,0,361.21,12.42,360.67,2.46,187.40,7.29,164.38,6.41,1,3654.17,15.38,0.85,5
34.70,108.77,52,5898.50,3.78,18491.27,3.34,0,0,837.60,14.16,424.13,2.55,171.63,3.28,151.47,2.91,1,7041.44,28.80,0.96,5
34.69,108.85,53,5897.90,3.66,18505.16,3.42,0,0,820.10,13.67,421.14,2.49,168.44,3.17,157.68,3.00,1,7877.48,28.61,0.96,5
104.78,241.49,53,17812.75,7.22,41053.30,8.57,0,0,310.50,12.69,348.69,2.08,136.05,6.35,160.36,7.31,1,1298.50,11.71,0.81,5
34.67,108.90,54,5893.14,4.09,18512.27,3.82,0,0,782.97,14.21,421.23,2.66,172.77,3.54,161.84,3.35,1,6895.96,23.91,0.95,4
34.75,108.87,55,5906.88,5.17,18508.29,5.11,0,0,728.65,16.16,414.06,3.25,179.02,4.50,177.04,4.46,1,6591.48,25.63,0.93,4
140.33,218.08,55,23856.84,15.87,37073.04,13.74,0,0,171.03,8.82,342.79,2.26,236.98,13.94,205.19,12.07,0,3365.67,7.36,0.69,4
34.71,108.78,56,5901.50,4.72,18492.99,4.55,0,0,636.66,13.67,414.35,2.54,168.59,4.09,162.70,3.96,1,6271.00,22.65,0.94,4
158.69,132.23,57,26977.03,7.58,22479.92,5.24,0,0,447.81,12.18,377.80,2.44,213.88,6.59,147.89,4.57,1,4044.94,18.31,0.90,5
178.18,187.75,60,30291.26,18.49,31916.88,14.52,0,0,157.68,9.13,350.59,2.30,245.81,16.22,193.04,12.75,0,1927.33,5.10,0.64,4
48.05,127.36,62,8168.32,8.91,21651.86,8.19,0,0,345.74,12.25,385.30,2.57,193.27,7.77,177.52,7.12,1,2515.92,12.30,0.84,4
91.89,143.54,64,15621.32,5.59,24401.08,4.71,0,0,758.87,16.73,419.07,3.37,194.67,4.87,163.75,4.06,1,7646.35,27.31,0.93,4
127.40,247.55,64,21657.44,26.13,42082.69,22.44,0,0,102.89,7.50,330.23,2.29,277.31,23.19,238.26,19.92,0,1863.67,3.70,0.49,3
12.95,168.26,68,2202.09,15.86,28604.95,16.31,0,0,180.01,11.30,375.58,2.54,194.29,13.86,199.70,14.24,0,1097.90,5.31,0.62,4
165.86,82.80,69,28197.01,9.52,14076.30,9.86,0,0,289.56,11.93,391.80,2.44,177.58,8.31,183.89,8.59,1,4452.06,12.98,0.80,5
165.66,82.82,70,28161.36,14.33,14079.46,12.19,0,0,199.84,10.14,381.34,2.33,217.18,12.53,184.78,10.67,1,3929.10,8.06,0.71,4
14.76,221.88,71,2509.29,17.78,37719.99,17.73,0,0,159.95,9.23,378.69,2.57,237.66,15.69,237.16,15.65,0,2031.65,5.83,0.63,4
26.99,61.20,72,4588.69,6.13,10403.66,6.69,0,0,529.59,14.45,432.77,2.95,172.79,5.37,188.36,5.83,1,5379.08,19.40,0.90,4
11.25,224.12,74,1912.06,18.99,38100.16,19.13,0,0,130.65,7.07,368.93,2.32,271.87,16.93,273.78,17.07,0,1081.67,4.15,0.63,4
80.62,170.79,75,13705.14,19.10,29033.97,13.79,0,0,145.37,8.06,368.72,2.11,265.56,16.79,191.74,12.13,0,2009.12,5.39,0.65,4
127.20,180.50,79,21623.16,8.15,30685.80,7.09,0,0,330.29,10.22,370.11,2.19,202.18,7.11,175.76,6.16,1,4600.77,14.59,0.87,4
196.42,208.16,84,33391.96,16.36,35387.43,14.18,0,0,199.19,13.62,356.53,2.62,183.56,14.19,159.43,12.43,1,778.25,6.63,0.59,4
