 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
1,7.74,247.34,1,1316.13,4.98,42047.52,5.36,0,0,475.20,11.96,354.16,2.10,151.47,4.31,163.06,4.62,1,3058.62,21.07,0.92,4
2,10.43,213.75,1,1773.94,6.98,36337.79,7.09,0,0,375.14,11.91,361.43,2.27,168.38,6.02,171.11,6.16,1,2546.54,10.76,0.87,4
3,13.52,102.83,1,2299.18,3.72,17481.62,3.68,0,0,806.77,14.43,371.70,2.55,159.00,3.18,157.91,3.22,1,5185.50,27.87,0.96,4
4,18.68,5.81,1,3174.89,3.69,988.51,3.64,0,0,855.06,14.78,360.73,2.69,163.75,3.19,161.62,3.17,1,0.00,0.00,0.96,4
5,20.57,230.49,1,3496.54,7.83,39184.05,7.87,0,0,376.09,15.62,370.93,2.47,141.49,6.43,141.98,6.43,1,2576.27,17.60,0.80,5
6,21.63,146.21,1,3676.80,2.98,24855.46,2.97,0,0,957.80,14.24,368.14,2.43,153.06,2.54,153.40,2.59,1,4922.12,33.43,0.97,4
7,32.38,72.61,1,5504.04,11.07,12343.84,11.13,0,0,225.15,11.75,365.66,2.14,162.20,9.52,163.04,9.57,1,1816.19,8.43,0.71,4
8,42.89,162.42,1,7290.55,7.55,27611.15,6.08,0,0,311.49,9.49,362.08,1.81,189.76,6.56,151.91,5.15,1,1809.23,13.16,0.88,4
9,48.86,176.40,1,8306.55,8.27,29988.67,7.49,0,0,318.03,11.37,363.58,2.15,177.37,7.19,160.41,6.43,1,1528.21,9.24,0.84,4
10,51.92,74.44,1,8825.86,3.74,12655.20,3.73,0,0,758.38,12.99,371.89,2.44,167.81,3.27,166.95,3.22,1,6038.67,30.47,0.96,4
11,68.33,174.21,1,11615.99,3.47,29616.40,3.35,0,0,852.29,14.78,384.93,2.47,152.82,2.96,148.31,2.93,1,4033.33,33.03,0.96,5
12,71.15,71.38,1,12095.85,7.19,12134.89,7.51,0,0,364.68,12.55,361.66,2.30,160.55,6.29,167.21,6.48,1,2173.83,13.04,0.85,5
13,73.72,192.33,1,12532.35,5.55,32696.58,5.85,0,0,465.36,13.12,379.84,2.26,150.72,4.78,158.78,5.03,1,3276.79,22.52,0.90,4
14,86.22,190.73,1,14657.30,11.46,32424.06,10.65,0,0,438.69,25.01,386.11,4.12,154.11,9.96,142.88,9.16,1,4373.25,14.00,0.68,4
15,89.74,195.14,1,15255.38,15.89,33173.75,15.91,0,0,320.66,26.65,390.76,4.35,146.58,13.71,147.72,14.12,1,3349.17,8.00,0.51,4
16,93.51,7.71,1,15896.12,6.37,1310.81,6.78,0,0,311.64,9.79,358.50,1.75,154.41,5.39,165.13,5.86,1,2128.71,13.25,0.87,4
17,93.62,143.96,1,15915.60,4.19,24473.93,4.35,0,0,728.98,14.86,393.62,2.67,157.34,3.59,163.89,3.81,1,5460.17,30.28,0.94,4
18,99.19,94.41,1,16861.58,5.27,16050.30,5.82,0,0,471.01,12.21,378.10,2.24,156.07,4.61,172.20,5.03,1,3545.79,16.31,0.91,4
19,111.40,93.76,1,18938.26,8.54,15939.22,10.03,0,0,304.70,13.78,380.90,2.40,142.74,7.08,169.59,8.69,1,3028.79,12.93,0.77,4
20,114.04,81.74,1,19387.27,5.79,13895.59,5.68,0,0,481.05,10.91,387.17,2.42,196.18,5.06,192.61,4.96,0,5280.90,18.89,0.92,4
21,120.76,175.19,1,20528.73,2.95,29782.02,3.10,0,0,959.50,14.54,396.04,2.48,149.39,2.56,157.10,2.71,1,5350.31,34.83,0.97,5
22,126.90,103.49,1,21572.74,13.43,17593.55,11.34,0,0,193.16,8.01,379.96,2.14,249.55,11.82,210.68,9.98,0,2625.19,6.80,0.77,3
23,136.51,158.80,1,23206.99,3.73,26996.13,3.70,0,0,654.18,12.58,402.44,2.06,147.15,3.11,147.57,3.24,1,3275.58,19.89,0.95,5
24,137.57,41.76,1,23387.38,11.25,7098.51,14.62,0,0,213.32,12.42,371.98,2.34,146.60,9.41,192.12,12.69,1,667.94,6.68,0.67,5
25,7.84,247.26,2,1332.67,8.36,42034.37,8.71,0,0,381.09,16.08,425.08,2.78,152.42,7.35,158.32,7.54,1,2940.04,13.09,0.80,5
26,138.92,129.73,1,23616.99,4.04,22054.63,4.01,0,0,675.83,12.14,399.36,2.35,172.82,3.53,171.17,3.48,1,4695.60,23.63,0.95,4
27,139.61,50.48,1,23734.10,12.08,8581.65,10.88,0,0,209.27,7.60,372.19,2.19,256.96,10.68,231.50,9.62,0,2181.83,8.81,0.80,3
28,10.60,213.74,2,1801.75,6.89,36336.62,8.21,0,0,427.60,12.73,434.76,2.82,177.81,6.00,211.95,7.17,1,4381.52,14.99,0.88,4
29,152.10,112.15,1,25856.34,6.24,19066.19,7.27,0,0,627.30,21.60,416.86,3.63,141.15,5.69,162.82,6.34,1,1592.81,4.62,0.85,4
30,154.35,221.48,1,26239.19,6.97,37651.00,7.03,0,0,396.01,13.48,405.14,2.36,156.32,5.97,157.58,5.99,1,3695.52,17.76,0.86,4
31,13.51,102.87,2,2295.95,2.80,17487.34,2.76,0,0,1096.03,14.87,437.82,2.60,157.64,2.38,156.31,2.42,1,6376.58,40.88,0.97,4
32,16.49,188.70,2,2803.16,6.66,32078.25,7.38,0,0,354.15,11.01,432.83,2.14,164.05,5.73,182.09,6.41,1,2587.48,11.37,0.87,4
33,156.86,107.34,1,26666.26,12.05,18248.24,8.17,0,0,640.39,27.26,423.54,5.49,217.02,10.48,146.36,6.95,1,2777.83,5.82,0.78,4
34,160.37,200.69,1,27262.46,2.57,34117.44,2.57,0,0,1115.36,14.00,421.94,2.45,156.45,2.20,156.85,2.22,1,6919.08,39.10,0.98,5
35,17.16,121.23,2,2917.44,10.75,20609.25,9.35,0,0,306.67,12.01,438.00,2.70,210.87,9.39,183.47,8.17,1,2941.25,10.30,0.80,4
36,168.68,157.20,1,28675.38,3.80,26723.28,3.82,0,0,844.20,16.22,414.24,2.74,151.27,3.25,152.77,3.34,1,5727.02,37.60,0.95,4
37,18.43,6.42,2,3132.39,12.60,1090.66,12.92,0,0,218.81,11.54,424.55,2.43,183.51,10.96,188.21,11.25,1,0.00,0.00,0.70,4
38,169.40,53.29,1,28797.65,8.48,9059.46,11.14,0,0,265.90,12.97,387.73,2.17,127.67,6.63,173.81,9.63,1,568.02,8.93,0.74,4
39,21.20,231.49,2,3604.67,7.19,39353.50,6.55,0,0,430.96,13.05,444.28,2.55,182.13,6.25,165.73,5.64,1,5211.38,17.34,0.88,4
40,169.47,62.65,1,28810.73,6.13,10649.93,6.77,0,0,413.61,13.25,388.12,2.26,144.28,5.06,161.07,5.81,1,2803.35,18.40,0.87,4
41,170.14,81.34,1,28923.48,12.91,13828.10,15.39,0,0,226.33,10.77,386.26,2.87,209.09,11.37,249.21,13.54,0,2070.42,8.66,0.72,4
42,21.58,146.18,2,3669.30,3.19,24850.89,3.03,0,0,1084.47,17.06,452.04,2.87,154.99,2.71,148.10,2.67,1,7772.29,40.28,0.97,5
43,171.38,92.24,1,29134.88,6.30,15680.96,6.47,0,0,414.21,12.78,405.83,2.26,156.00,5.38,160.66,5.61,1,2642.67,15.11,0.88,4
44,25.10,206.73,2,4266.36,13.07,35143.56,11.57,0,0,263.33,14.66,455.35,2.79,180.16,11.38,159.32,10.03,1,1982.27,7.15,0.68,4
45,171.44,139.47,1,29144.72,5.38,23710.41,5.12,0,0,560.68,15.20,411.21,2.48,150.08,4.51,141.92,4.19,1,4337.67,20.47,0.90,4
46,41.94,238.32,2,7130.54,24.03,40514.98,16.88,0,0,170.61,12.05,434.14,3.06,261.81,21.13,184.04,14.82,1,1080.35,4.95,0.54,4
47,171.99,122.48,1,29237.58,8.78,20822.17,9.58,0,0,476.84,22.32,423.18,3.74,145.55,7.96,156.71,8.14,1,3093.92,14.55,0.76,5
48,51.93,74.42,2,8828.39,3.82,12651.75,4.22,0,0,827.72,15.18,446.52,2.86,160.48,3.37,176.43,3.65,1,5273.96,25.23,0.95,4
49,179.60,45.01,1,30532.83,3.76,7650.97,3.77,0,0,731.21,13.64,397.66,2.35,153.76,3.19,155.43,3.34,1,4004.75,18.48,0.95,4
50,181.73,100.04,1,30894.18,4.37,17007.47,4.09,0,0,652.07,12.49,413.20,2.38,175.10,3.79,164.30,3.59,1,4593.75,21.55,0.95,4
51,181.24,163.65,1,30811.22,9.05,27820.05,9.08,0,0,292.28,12.12,414.19,2.28,167.50,7.87,167.77,7.84,1,2499.40,13.36,0.80,4
52,182.27,118.29,1,30985.27,10.89,20108.49,13.90,0,0,299.00,13.20,407.43,3.27,189.90,9.55,242.28,12.18,1,1009.90,5.60,0.76,5
53,188.21,125.74,1,31996.30,4.02,21375.67,3.88,0,0,751.19,15.36,423.22,2.53,151.07,3.51,145.39,3.35,1,4425.88,17.40,0.94,4
54,191.19,94.50,1,32503.10,16.54,16064.21,14.94,0,0,338.36,22.50,423.88,4.62,190.91,14.41,172.34,12.94,1,-824.62,1.36,0.59,3
55,196.58,78.66,1,33419.35,6.86,13371.47,7.45,0,0,402.58,11.98,401.09,2.50,176.87,5.96,192.30,6.49,1,2808.19,13.10,0.88,4
